"No.","Time","Source","Destination","Protocol","Length","Info"
"13882","668.759988","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13883","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13884","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13885","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13886","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13887","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13888","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13889","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13890","668.759988","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13891","668.760557","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13892","668.763232","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13893","668.763232","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13894","668.763375","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13895","668.763476","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13896","668.763476","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13897","668.763570","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13898","668.763991","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13899","668.763991","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13900","668.763991","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13901","668.763991","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13902","668.764123","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13903","668.766630","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13904","668.766630","192.0.77.40","100.86.87.79","QUIC","823","Protected Payload (KP0), DCID=8b388c"
"13905","668.766630","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13906","668.766630","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13907","668.766630","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13908","668.766630","192.0.77.40","100.86.87.79","QUIC","1505","Protected Payload (KP0), DCID=8b388c"
"13909","668.766630","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13910","668.766630","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13911","668.766982","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13912","668.767311","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13913","668.767311","192.0.77.40","100.86.87.79","QUIC","1509","Protected Payload (KP0), DCID=8b388c"
"13914","668.767311","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13915","668.767311","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13916","668.767428","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13917","668.767762","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13918","668.767762","192.0.77.40","100.86.87.79","QUIC","1509","Protected Payload (KP0), DCID=8b388c"
"13919","668.767888","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13920","668.771665","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13921","668.771665","192.0.77.40","100.86.87.79","QUIC","1499","Protected Payload (KP0), DCID=8b388c"
"13922","668.771665","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13923","668.771807","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13924","668.773517","192.0.77.40","100.86.87.79","QUIC","1509","Protected Payload (KP0), DCID=8b388c"
"13925","668.773517","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13926","668.773517","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13927","668.773517","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13928","668.773517","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13929","668.773517","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13930","668.773517","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13931","668.773517","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13932","668.773810","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13933","668.774494","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13934","668.774494","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13935","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13936","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13937","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13938","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13939","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13940","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13941","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13942","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13943","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13944","668.774494","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13945","668.774783","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13946","668.775296","192.0.77.40","100.86.87.79","QUIC","1507","Protected Payload (KP0), DCID=8b388c"
"13947","668.775296","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13948","668.775296","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13949","668.775296","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13950","668.775296","192.0.77.40","100.86.87.79","QUIC","1511","Protected Payload (KP0), DCID=8b388c"
"13951","668.775296","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13952","668.775423","100.86.87.79","192.0.77.40","QUIC","92","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13953","668.776550","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13954","668.776550","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13955","668.776631","100.86.87.79","192.0.77.40","QUIC","94","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13956","668.777650","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13957","668.778632","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13958","668.778632","192.0.77.40","100.86.87.79","QUIC","694","Protected Payload (KP0), DCID=8b388c"
"13959","668.778749","100.86.87.79","192.0.77.40","QUIC","94","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13960","668.789881","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13961","668.810016","100.86.87.79","192.0.77.40","QUIC","95","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13962","668.820870","192.0.77.40","100.86.87.79","QUIC","66","Protected Payload (KP0), DCID=8b388c"
"13963","668.841023","100.86.87.79","192.0.77.40","QUIC","96","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13964","668.876481","192.0.77.40","100.86.87.79","QUIC","70","Protected Payload (KP0), DCID=8b388c"
"13965","669.187302","100.86.87.79","192.0.77.40","QUIC","1356","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13966","669.197724","192.0.77.40","100.86.87.79","QUIC","82","Protected Payload (KP0), DCID=8b388c"
"13967","669.197854","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13968","669.199956","192.0.77.40","100.86.87.79","QUIC","318","Protected Payload (KP0), DCID=8b388c"
"13969","669.219577","100.86.87.79","192.0.77.40","QUIC","87","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13970","669.229475","192.0.77.40","100.86.87.79","QUIC","66","Protected Payload (KP0), DCID=8b388c"
"13971","669.249356","100.86.87.79","192.0.77.40","QUIC","87","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13972","677.114071","100.86.87.79","192.0.77.40","QUIC","1399","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13973","677.114171","100.86.87.79","192.0.77.40","QUIC","162","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13974","677.125136","192.0.77.40","100.86.87.79","QUIC","76","Protected Payload (KP0), DCID=8b388c"
"13975","677.125383","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13976","677.176307","192.0.77.40","100.86.87.79","QUIC","566","Protected Payload (KP0), DCID=8b388c"
"13977","677.176599","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13978","677.186658","192.0.77.40","100.86.87.79","QUIC","66","Protected Payload (KP0), DCID=8b388c"
"13979","677.205905","100.86.87.79","192.0.77.40","QUIC","87","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13980","678.360170","100.86.87.79","192.0.77.40","QUIC","1399","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13981","678.360258","100.86.87.79","192.0.77.40","QUIC","500","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13982","678.360810","100.86.87.79","192.0.77.40","QUIC","1399","Initial, DCID=7cf6834a1b9af1e2, SCID=92d9a1, PKN: 0, CRYPTO"
"13983","678.370421","192.0.77.40","100.86.87.79","QUIC","76","Protected Payload (KP0), DCID=8b388c"
"13984","678.370620","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13985","678.370858","192.0.77.40","100.86.87.79","QUIC","76","Protected Payload (KP0), DCID=8b388c"
"13986","678.370858","192.0.77.40","100.86.87.79","QUIC","461","Protected Payload (KP0), DCID=8b388c"
"13987","678.371095","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13988","678.371154","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13989","678.371154","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13990","678.371358","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13991","678.371529","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13992","678.371529","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13993","678.371529","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13994","678.371529","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13995","678.371701","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13996","678.372763","192.0.77.40","100.86.87.79","QUIC","1513","Protected Payload (KP0), DCID=8b388c"
"13997","678.372763","192.0.77.40","100.86.87.79","QUIC","530","Protected Payload (KP0), DCID=8b388c"
"13998","678.373094","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"13999","678.373921","192.0.77.40","100.86.87.79","QUIC","154","Retry, DCID=92d9a1, SCID=276c8cfa1e022b6cf4336ae15b4289f8ea2f0ad2"
"14000","678.374155","100.86.87.79","192.0.77.40","QUIC","1399","Initial, DCID=276c8cfa1e022b6cf4336ae15b4289f8ea2f0ad2, SCID=92d9a1, PKN: 1, CRYPTO"
"14001","678.382964","192.0.77.40","100.86.87.79","QUIC","66","Protected Payload (KP0), DCID=8b388c"
"14002","678.383353","192.0.77.40","100.86.87.79","QUIC","66","Protected Payload (KP0), DCID=8b388c"
"14003","678.383466","100.86.87.79","192.0.77.40","QUIC","86","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"14004","678.387097","192.0.77.40","100.86.87.79","QUIC","1242","Handshake, DCID=92d9a1, SCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14005","678.387097","192.0.77.40","100.86.87.79","QUIC","1242","Handshake, DCID=92d9a1, SCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14006","678.387097","192.0.77.40","100.86.87.79","QUIC","1242","Handshake, DCID=92d9a1, SCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14007","678.387583","100.86.87.79","192.0.77.40","QUIC","96","Handshake, DCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713, SCID=92d9a1"
"14008","678.389672","192.0.77.40","100.86.87.79","QUIC","503","Handshake, DCID=92d9a1, SCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14009","678.390516","100.86.87.79","192.0.77.40","QUIC","97","Handshake, DCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713, SCID=92d9a1"
"14010","678.393599","100.86.87.79","192.0.77.40","QUIC","191","Protected Payload (KP0), DCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14011","678.393656","100.86.87.79","192.0.77.40","QUIC","117","Protected Payload (KP0), DCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14012","678.394165","100.86.87.79","192.0.77.40","QUIC","137","Protected Payload (KP0), DCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14013","678.405381","192.0.77.40","100.86.87.79","QUIC","965","Protected Payload (KP0), DCID=92d9a1"
"14014","678.405519","100.86.87.79","192.0.77.40","QUIC","137","Protected Payload (KP0), DCID=27ce5c7fd12bbf1d6e9bc8f582d3d72ba81a0713"
"14015","683.376348","100.86.87.79","192.0.77.40","QUIC","1399","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"14016","683.376431","100.86.87.79","192.0.77.40","QUIC","87","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
"14017","683.376727","100.86.87.79","192.0.77.40","QUIC","1399","Protected Payload (KP0), DCID=81c9046747822098797144559dbcd0321deea3a2"
