"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.100.111.80","104.18.35.30","QUIC","1292","Initial, DCID=a730319f62b1c117, PKN: 1, CRYPTO"
"2","0.000539","100.100.111.80","104.18.35.30","QUIC","1292","Initial, DCID=a730319f62b1c117, PKN: 2, PADDING, CRYPTO, PADDING, PING, PADDING"
"3","0.022309","104.18.35.30","100.100.111.80","QUIC","1242","Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 0, ACK"
"4","0.022309","104.18.35.30","100.100.111.80","QUIC","1242","Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 1, ACK"
"5","0.023781","104.18.35.30","100.100.111.80","QUIC","1242","Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 2, CRYPTO"
"6","0.023781","104.18.35.30","100.100.111.80","QUIC","1242","Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 3, CRYPTO"
"7","0.025484","100.100.111.80","104.18.35.30","QUIC","1292","Initial, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 3, ACK, PADDING"
"8","0.025785","104.18.35.30","100.100.111.80","QUIC","1242","Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170"
"9","0.028042","100.100.111.80","104.18.35.30","QUIC","94","Handshake, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170"
"10","0.029207","104.18.35.30","100.100.111.80","QUIC","1242","Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170"
"11","0.029207","104.18.35.30","100.100.111.80","QUIC","1242","Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170"
"12","0.029329","104.18.35.30","100.100.111.80","QUIC","452","Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170"
"13","0.031588","100.100.111.80","104.18.35.30","QUIC","93","Handshake, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170"
