"No.","Time","Source","Destination","Protocol","Length","Info"
"1130","1.624973","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1131","1.624973","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1132","1.625063","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#17] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1961289 SLE=1934461 SRE=1949993"
"1133","1.625092","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#18] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1962701 SLE=1934461 SRE=1949993"
"1134","1.625107","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#19] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1964113 SLE=1934461 SRE=1949993"
"1135","1.625121","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#20] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1965525 SLE=1934461 SRE=1949993"
"1136","1.625135","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#21] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1966937 SLE=1934461 SRE=1949993"
"1137","1.625148","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#22] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1968349 SLE=1934461 SRE=1949993"
"1138","1.625162","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#23] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1969761 SLE=1934461 SRE=1949993"
"1139","1.625176","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#24] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1971173 SLE=1934461 SRE=1949993"
"1140","1.625189","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#25] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1972585 SLE=1934461 SRE=1949993"
"1141","1.625203","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#26] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1973997 SLE=1934461 SRE=1949993"
"1142","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1143","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1144","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1145","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1146","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1147","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1148","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1149","1.630284","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1150","1.630340","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#27] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1975409 SLE=1934461 SRE=1949993"
"1151","1.630366","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#28] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1976821 SLE=1934461 SRE=1949993"
"1152","1.630382","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#29] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1978233 SLE=1934461 SRE=1949993"
"1153","1.630395","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#30] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1979645 SLE=1934461 SRE=1949993"
"1154","1.630407","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#31] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1981057 SLE=1934461 SRE=1949993"
"1155","1.630420","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#32] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1982469 SLE=1934461 SRE=1949993"
"1156","1.630433","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#33] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1983881 SLE=1934461 SRE=1949993"
"1157","1.630445","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#34] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1985293 SLE=1934461 SRE=1949993"
"1158","1.635461","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1159","1.635461","34.120.52.64","100.86.87.79","SSLv2","1466","[TCP Fast Retransmission] , Encrypted Data"
"1160","1.635461","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1161","1.635461","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1162","1.635461","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1163","1.635461","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1164","1.635461","34.120.52.64","100.86.87.79","TLSv1.3","1466","Continuation Data"
"1165","1.635461","34.120.52.64","100.86.87.79","TCP","1466","443  >  58535 [ACK] Seq=1993765 Ack=3866 Win=69888 Len=1412"
"1166","1.635542","100.86.87.79","34.120.52.64","TCP","74","[TCP Dup ACK 1095#35] 58535  >  443 [ACK] Seq=3866 Ack=1933049 Win=132608 Len=0 SLE=1951405 SRE=1986705 SLE=1934461 SRE=1949993"
"1167","1.635589","100.86.87.79","34.120.52.64","TCP","66","58535  >  443 [ACK] Seq=3866 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1986705"
"1168","1.635607","100.86.87.79","34.120.52.64","TCP","66","[TCP Dup ACK 1167#1] 58535  >  443 [ACK] Seq=3866 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1988117"
"1169","1.635649","100.86.87.79","34.120.52.64","TCP","66","[TCP Dup ACK 1167#2] 58535  >  443 [ACK] Seq=3866 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1989529"
"1170","1.635662","100.86.87.79","34.120.52.64","TCP","66","[TCP Dup ACK 1167#3] 58535  >  443 [ACK] Seq=3866 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1990941"
"1171","1.635674","100.86.87.79","34.120.52.64","TCP","66","[TCP Dup ACK 1167#4] 58535  >  443 [ACK] Seq=3866 Ack=1949993 Win=132608 Len=0 SLE=1951405 SRE=1992353"
