"No.","Time","Source","Destination","Protocol","Length","Info"
"5125","242.641349","23.12.147.175","100.86.111.80","TCP","1514","[TCP Previous segment not captured] 443  >  64109 [ACK] Seq=4323617 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5126","242.641349","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4325077 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5127","242.641378","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#133] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4325077 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5128","242.641405","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#134] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4326537 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5129","242.641689","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4326537 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5130","242.641711","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#135] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4327997 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5131","242.643901","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4327997 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5132","242.644023","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#136] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4329457 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5133","242.644278","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4329457 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5134","242.644278","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4330917 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5135","242.644349","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#137] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4330917 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5136","242.644402","100.86.111.80","23.12.147.175","TCP","90","[TCP Dup ACK 4861#138] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4323617 SRE=4332377 SLE=4196700 SRE=4322157 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"5137","242.644736","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [PSH, ACK] Seq=4332377 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5138","242.644736","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4333837 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
