No.,Time,Source,Destination,Protocol,Length,Info,label
10793,297.809476,157.240.229.174,100.86.73.172,QUIC,90,Protected Payload (KP0),2
10794,297.809476,157.240.229.174,100.86.73.172,QUIC,90,Protected Payload (KP0),2
10795,297.819491,100.86.73.172,157.240.229.174,QUIC,77,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10796,297.853844,157.240.229.174,100.86.73.172,QUIC,1274,Protected Payload (KP0),2
10797,297.853844,157.240.229.174,100.86.73.172,QUIC,1274,Protected Payload (KP0),2
10798,297.853844,157.240.229.174,100.86.73.172,QUIC,1274,Protected Payload (KP0),2
10799,297.853844,157.240.229.174,100.86.73.172,QUIC,954,Protected Payload (KP0),2
10800,297.854117,157.240.229.174,100.86.73.172,QUIC,1274,Protected Payload (KP0),2
10801,297.854117,157.240.229.174,100.86.73.172,QUIC,1274,Protected Payload (KP0),2
10802,297.854117,157.240.229.174,100.86.73.172,QUIC,634,Protected Payload (KP0),2
10803,297.854768,100.86.73.172,157.240.229.174,QUIC,83,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10804,297.854994,100.86.73.172,157.240.229.174,QUIC,83,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10805,297.860475,100.86.73.172,157.240.229.174,QUIC,77,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10806,297.880691,157.240.229.174,100.86.73.172,QUIC,90,Protected Payload (KP0),2
10807,297.897735,100.86.73.172,157.240.229.174,QUIC,1287,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10808,297.897795,100.86.73.172,157.240.229.174,QUIC,370,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10809,297.900731,100.86.73.172,157.240.229.174,QUIC,1287,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10810,297.900778,100.86.73.172,157.240.229.174,QUIC,1292,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10811,297.907411,100.86.73.172,157.240.229.174,QUIC,1090,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10812,297.911515,157.240.229.174,100.86.73.172,QUIC,90,Protected Payload (KP0),2
10813,297.93769,157.240.229.174,100.86.73.172,QUIC,90,Protected Payload (KP0),2
10814,297.942166,100.86.73.172,157.240.229.174,QUIC,77,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10815,297.959002,157.240.229.174,100.86.73.172,QUIC,90,Protected Payload (KP0),2
10816,297.963027,100.86.73.172,157.240.229.174,QUIC,77,"Protected Payload (KP0), DCID=ac2d00460da559cd",2
10817,297.976383,157.240.229.174,100.86.73.172,QUIC,90,Protected Payload (KP0),2
