"No.","Time","Source","Destination","Protocol","Length","Info"
"6541","13.316040","100.86.100.45","23.0.229.150","TCP","1514","60386  >  443 [ACK] Seq=618572 Ack=6325721 Win=1765824 Len=1448 TSval=2062586541 TSecr=436341316 [TCP segment of a reassembled PDU]"
"6542","13.316046","100.86.100.45","23.0.229.150","TLSv1.3","917","Application Data"
"6543","13.316084","100.86.100.45","23.0.229.150","TCP","1514","60386  >  443 [ACK] Seq=620871 Ack=6325721 Win=1765824 Len=1448 TSval=2062586541 TSecr=436341316 [TCP segment of a reassembled PDU]"
"6544","13.316090","100.86.100.45","23.0.229.150","TLSv1.3","917","Application Data"
"6545","13.316099","100.86.100.45","23.0.229.150","TLSv1.3","520","Application Data"
"6546","13.316107","100.86.100.45","23.0.229.150","TLSv1.3","240","Application Data"
"6547","13.316219","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6325721 Ack=618572 Win=229248 Len=1448 TSval=436341317 TSecr=2062586523 [TCP segment of a reassembled PDU]"
"6548","13.316241","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=623798 Ack=6327169 Win=1764416 Len=0 TSval=2062586541 TSecr=436341317"
"6549","13.317210","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6327169 Ack=618572 Win=229248 Len=1448 TSval=436341317 TSecr=2062586523 [TCP segment of a reassembled PDU]"
"6550","13.317210","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [PSH, ACK] Seq=6328617 Ack=618572 Win=229248 Len=1448 TSval=436341317 TSecr=2062586523 [TCP segment of a reassembled PDU]"
"6551","13.317240","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=623798 Ack=6330065 Win=1762944 Len=0 TSval=2062586543 TSecr=436341317"
"6552","13.317273","100.86.100.45","23.0.229.150","TCP","66","[TCP Window Update] 60386  >  443 [ACK] Seq=623798 Ack=6330065 Win=1765824 Len=0 TSval=2062586543 TSecr=436341317"
"6553","13.317786","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6330065 Ack=618572 Win=229248 Len=1448 TSval=436341317 TSecr=2062586523 [TCP segment of a reassembled PDU]"
