No.,Time,Source,Destination,Protocol,Length,Info,,label
2587,161.172212,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2588,161.652313,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2589,161.652462,100.86.186.37,157.240.229.35,UDP,229,64722  >  443 Len=187,,2
2590,161.655888,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2591,161.656,100.86.186.37,157.240.229.35,UDP,1292,64722  >  443 Len=1250,,2
2592,161.656036,100.86.186.37,157.240.229.35,UDP,1292,64722  >  443 Len=1250,,2
2593,161.65607,100.86.186.37,157.240.229.35,UDP,1292,64722  >  443 Len=1250,,2
2594,161.656104,100.86.186.37,157.240.229.35,UDP,687,64722  >  443 Len=645,,2
2595,161.657327,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2596,161.657483,100.86.186.37,157.240.229.35,UDP,330,64722  >  443 Len=288,,2
2597,161.662538,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2598,161.666055,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2599,161.666485,100.86.186.37,157.240.229.35,UDP,76,64722  >  443 Len=34,,2
2600,161.667697,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2601,161.673449,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2602,161.686039,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
