No.,Time,Source,Destination,Protocol,Length,Info,,label
2353,138.480045,157.240.229.35,100.86.186.37,UDP,154,443  >  64722 Len=112,,2
2354,138.48621,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2355,138.50518,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2356,138.50518,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2357,138.50518,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2358,138.50518,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2359,138.50518,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2360,138.50518,157.240.229.35,100.86.186.37,UDP,506,443  >  64722 Len=464,,2
2361,138.512954,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2362,138.512954,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2363,138.512954,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2364,138.512954,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2365,138.512954,157.240.229.35,100.86.186.37,UDP,570,443  >  64722 Len=528,,2
2366,138.512954,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2367,138.514218,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2368,138.514427,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2369,138.517115,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2370,138.523667,157.240.229.35,100.86.186.37,UDP,442,443  >  64722 Len=400,,2
2371,138.530346,157.240.229.35,100.86.186.37,UDP,730,443  >  64722 Len=688,,2
2372,138.531574,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2373,138.53172,157.240.229.35,100.86.186.37,UDP,634,443  >  64722 Len=592,,2
2374,138.53172,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2375,138.535435,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2376,138.570577,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2377,138.620051,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2378,138.620128,100.86.186.37,157.240.229.35,UDP,1189,64722  >  443 Len=1147,,2
2379,138.629993,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2380,138.635542,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2381,138.651061,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2382,138.755258,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2383,138.755828,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2384,138.755931,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2385,138.755931,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2386,138.756459,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
2387,138.756459,157.240.229.35,100.86.186.37,UDP,826,443  >  64722 Len=784,,2
2388,138.76571,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2389,138.78184,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2390,140.697146,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
2391,140.697261,100.86.186.37,157.240.229.35,UDP,231,64722  >  443 Len=189,,2
2392,140.708895,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2393,140.712406,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
2394,140.736495,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2395,140.786849,157.240.229.35,100.86.186.37,UDP,474,443  >  64722 Len=432,,2
2396,140.78741,100.86.186.37,157.240.229.35,UDP,83,64722  >  443 Len=41,,2
2397,140.809733,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
2398,141.281754,100.86.186.37,157.240.229.35,UDP,1287,64722  >  443 Len=1245,,2
