No.,Time,Source,Destination,Protocol,Length,Info,label
11075,445.649702,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11076,445.649702,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11077,445.650135,100.86.73.172,172.253.62.190,QUIC,81,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11078,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11079,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11080,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11081,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11082,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11083,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11084,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11085,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11086,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11087,445.652159,172.253.62.190,100.86.73.172,QUIC,868,Protected Payload (KP0),0
11088,445.652159,172.253.62.190,100.86.73.172,QUIC,1286,Protected Payload (KP0),0
11089,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11090,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11091,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11092,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11093,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11094,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11095,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11096,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11097,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11098,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11099,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11100,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11101,445.652159,172.253.62.190,100.86.73.172,QUIC,547,Protected Payload (KP0),0
11102,445.652159,172.253.62.190,100.86.73.172,QUIC,308,Protected Payload (KP0),0
11103,445.652159,172.253.62.190,100.86.73.172,QUIC,1284,Protected Payload (KP0),0
11104,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11105,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11106,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11107,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11108,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11109,445.652159,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
11110,445.652687,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11111,445.652929,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11112,445.653093,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11113,445.653101,172.253.62.190,100.86.73.172,QUIC,787,Protected Payload (KP0),0
11114,445.653101,172.253.62.190,100.86.73.172,QUIC,218,Protected Payload (KP0),0
11115,445.662581,100.86.73.172,172.253.62.190,QUIC,75,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11116,445.666093,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
11117,447.03304,100.86.73.172,172.253.62.190,QUIC,1285,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11118,447.033123,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11119,447.033156,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11120,447.033184,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11121,447.033214,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11122,447.033243,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11123,447.033271,100.86.73.172,172.253.62.190,QUIC,197,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11124,447.0464,172.253.62.190,100.86.73.172,QUIC,74,Protected Payload (KP0),0
11125,447.050447,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
11126,447.050657,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11127,447.071074,172.253.62.190,100.86.73.172,QUIC,630,Protected Payload (KP0),0
11128,447.071348,100.86.73.172,172.253.62.190,QUIC,81,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11129,447.071515,172.253.62.190,100.86.73.172,QUIC,91,Protected Payload (KP0),0
11130,447.074737,100.86.73.172,172.253.62.190,QUIC,75,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11131,447.085115,172.253.62.190,100.86.73.172,QUIC,68,Protected Payload (KP0),0
11132,451.006435,100.86.73.172,172.253.62.190,QUIC,1285,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11133,451.006556,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11134,451.0066,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11135,451.006635,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11136,451.00667,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11137,451.006707,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11138,451.006746,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11139,451.006783,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11140,451.006819,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11141,451.006853,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11142,451.006888,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11143,451.006924,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11144,451.006959,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11145,451.007005,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11146,451.00704,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11147,451.007077,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11148,451.007113,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11149,451.007154,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11150,451.007192,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11151,451.007227,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11152,451.020446,172.253.62.190,100.86.73.172,QUIC,74,Protected Payload (KP0),0
11153,451.020816,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
11154,451.020906,100.86.73.172,172.253.62.190,QUIC,1292,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
