No.,Time,Source,Destination,Protocol,Length,Info,label
3659,176.168557,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#18] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3081560 SLE=3053820 SRE=3068420,1
3660,176.168626,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#19] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3083020 SLE=3053820 SRE=3068420,1
3661,176.168802,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3662,176.168802,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3663,176.16887,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#20] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3084480 SLE=3053820 SRE=3068420,1
3664,176.168935,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#21] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3085940 SLE=3053820 SRE=3068420,1
3665,176.169477,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3666,176.169477,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3667,176.169585,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#22] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3087400 SLE=3053820 SRE=3068420,1
3668,176.169673,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#23] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3088860 SLE=3053820 SRE=3068420,1
3669,176.169742,23.12.147.175,100.86.111.80,TCP,1514,443  >  64109 [ACK] Seq=3088860 Ack=12354 Win=64128 Len=1460,1
3670,176.169742,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3671,176.169811,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#24] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3090320 SLE=3053820 SRE=3068420,1
3672,176.169875,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#25] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3091780 SLE=3053820 SRE=3068420,1
3673,176.169939,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3674,176.169939,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3675,176.170003,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#26] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3093240 SLE=3053820 SRE=3068420,1
3676,176.170067,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#27] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3094700 SLE=3053820 SRE=3068420,1
3677,176.269257,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3678,176.269257,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3679,176.269415,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#28] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3096160 SLE=3053820 SRE=3068420,1
3680,176.269515,100.86.111.80,23.12.147.175,TCP,74,[TCP Dup ACK 3622#29] 64109  >  443 [ACK] Seq=12354 Ack=3052360 Win=262656 Len=0 SLE=3069880 SRE=3097620 SLE=3053820 SRE=3068420,1
3681,176.269597,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
3682,176.269597,23.12.147.175,100.86.111.80,TLSv1.3,1514,Continuation Data,1
