No.,Time,Source,Destination,Protocol,Length,Info,label
1965,214.308682,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1966,214.308682,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1967,214.308682,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1968,214.308682,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1969,214.308682,172.253.62.190,100.86.73.172,QUIC,1292,Protected Payload (KP0),0
1970,214.30896,100.86.73.172,172.253.62.190,QUIC,74,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1971,214.309131,100.86.73.172,172.253.62.190,QUIC,76,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1972,214.309208,100.86.73.172,172.253.62.190,QUIC,76,"Protected Payload (KP0), DCID=fbfaf28bfa745a09",0
1973,214.312108,172.253.62.190,100.86.73.172,QUIC,239,Protected Payload (KP0),0
1974,214.312108,172.253.62.190,100.86.73.172,QUIC,135,Protected Payload (KP0),0
